                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55933       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      57732      49615      45896      45275      45969      46484      38391      32813
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      49186      47751      50796      50022      54166      54321      40484      39649
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      13459          2          4          0          0          0          0
       TIMER:      74336      64921      64679      63869      69984      69772      48982      45974
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55933       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      57781      49673      45947      45327      46004      46532      38434      32845
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      49244      47805      50857      50081      54206      54370      40536      39706
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      13548          2          4          0          0          0          0
       TIMER:      74393      64978      64747      63921      70035      69843      49039      46024
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55933       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      57835      49720      45997      45360      46042      46572      38474      32881
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      49297      47855      50914      50131      54255      54423      40589      39753
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      13644          2          4          0          0          0          0
       TIMER:      74455      65035      64817      63985      70091      69912      49096      46075
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55933       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      57891      49768      46054      45411      46088      46615      38519      32916
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      49355      47911      50970      50189      54308      54484      40643      39802
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      13760          2          4          0          0          0          0
       TIMER:      74544      65116      64921      64072      70165      69984      49175      46156
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55933       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      57964      49832      46131      45463      46149      46669      38561      32959
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      49436      47984      51029      50262      54381      54552      40704      39870
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      13861          2          4          0          0          0          0
       TIMER:      74616      65188      64988      64154      70236      70053      49249      46219
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55933       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      58021      49884      46173      45529      46209      46717      38598      33005
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      49505      48053      51089      50333      54441      54618      40771      39928
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      13935          2          4          0          0          0          0
       TIMER:      74667      65238      65035      64214      70282      70113      49297      46263
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55933       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      58064      49920      46217      45575      46248      46765      38635      33034
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      49553      48099      51135      50379      54484      54666      40814      39967
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      14011          2          4          0          0          0          0
       TIMER:      74723      65287      65102      64278      70332      70170      49354      46314
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55935       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      58118      49966      46282      45635      46288      46813      38684      33080
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      49608      48146      51188      50436      54532      54718      40869      40016
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      14082          2          4          0          0          0          0
       TIMER:      74776      65329      65160      64329      70372      70217      49398      46359
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55935       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      58164      50005      46333      45682      46324      46856      38718      33117
