                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      32778          0          0          0          0          0          0
       TIMER:      25470      22101      23190      22420      22709      22555      20878      25936
      NET_TX:        374        450       2853       4052        485        450       6349       7114
      NET_RX:       6471      33021       5846       6387         32         28        109       1942
       BLOCK:      91072        881          0          0          0          0      13006      42418
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14968        139        205         61         84         28         30
       SCHED:      22320      19331      18704      17942      14893      14842      19360      24541
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      19654      18804      20904      20300      20957      20740      18397      27933
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      32778          0          0          0          0          0          0
       TIMER:      25477      22112      23198      22429      22715      22573      20886      25949
      NET_TX:        374        450       2853       4052        485        450       6349       7114
      NET_RX:       6471      33021       5846       6387         32         28        109       1942
       BLOCK:      91075        881          0          0          0          0      13008      42418
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14969        139        205         61         84         28         30
       SCHED:      22327      19344      18712      17951      14899      14860      19369      24560
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      19661      18817      20912      20309      20963      20757      18406      27952
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      32778          0          0          0          0          0          0
       TIMER:      25480      22124      23209      22440      22732      22584      20892      25966
      NET_TX:        374        450       2853       4052        485        450       6349       7114
      NET_RX:       6471      33021       5846       6387         32         28        109       1942
       BLOCK:      91112        881          0          0          0          0      13008      42418
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14969        139        205         61         84         28         30
       SCHED:      22330      19357      18722      17963      14919      14871      19375      24581
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      19664      18830      20923      20320      20983      20767      18412      27973
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      32778          0          0          0          0          0          0
       TIMER:      25491      22128      23212      22444      22739      22595      20893      25976
      NET_TX:        374        450       2853       4052        485        450       6349       7114
      NET_RX:       6471      33021       5846       6387         32         28        109       1942
       BLOCK:      91112        881          0          0          0          0      13008      42418
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14969        139        205         61         84         28         30
       SCHED:      22341      19361      18726      17967      14926      14883      19376      24591
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      19675      18834      20927      20324      20990      20777      18413      27984
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      32778          0          0          0          0          0          0
       TIMER:      25498      22129      23215      22447      22741      22611      20895      25986
      NET_TX:        374        450       2853       4052        485        450       6349       7114
      NET_RX:       6471      33021       5846       6387         32         28        109       1942
       BLOCK:      91112        881          0          0          0          0      13008      42418
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14969        139        205         61         84         28         30
       SCHED:      22351      19362      18729      17970      14928      14899      19378      24604
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      19685      18835      20930      20327      20992      20790      18415      27997
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      32778          0          0          0          0          0          0
       TIMER:      25506      22132      23220      22449      22742      22628      20897      25991
      NET_TX:        374        450       2853       4052        485        450       6349       7114
      NET_RX:       6471      33021       5846       6387         32         28        109       1942
       BLOCK:      91112        881          0          0          0          0      13008      42418
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14969        139        205         61         84         28         30
       SCHED:      22361      19365      18734      17972      14929      14916      19380      24609
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      19695      18838      20935      20329      20993      20805      18417      28002
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      32778          0          0          0          0          0          0
       TIMER:      25509      22133      23223      22450      22744      22643      20898      25996
      NET_TX:        374        450       2853       4052        485        450       6349       7114
      NET_RX:       6471      33021       5846       6387         32         28        109       1942
       BLOCK:      91112        881          0          0          0          0      13008      42418
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14969        139        205         61         84         28         30
       SCHED:      22362      19366      18737      17973      14931      14931      19381      24615
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      19696      18839      20938      20330      20995      20815      18418      28008
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      32778          0          0          0          0          0          0
       TIMER:      25512      22141      23231      22452      22744      22654      20899      25999
      NET_TX:        374        450       2853       4052        485        450       6349       7114
      NET_RX:       6471      33021       5846       6387         32         28        109       1942
       BLOCK:      91112        881          0          0          0          0      13008      42418
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14969        139        205         61         84         28         30
       SCHED:      22362      19374      18746      17975      14931      14942      19382      24618
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      19696      18847      20947      20332      20995      20824      18419      28011
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      32778          0          0          0          0          0          0
       TIMER:      25512      22159      23232      22454      22752      22657      20899      26005
      NET_TX:        374        450       2853       4052        485        450       6349       7114
      NET_RX:       6471      33021       5846       6387         32         28        109       1942
       BLOCK:      91112        881          0          0          0          0      13008      42418
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14969        139        205         61         84         28         30
       SCHED:      22362      19392      18747      17977      14939      14945      19382      24624
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      19696      18865      20948      20334      21003      20827      18419      28017
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      32778          0          0          0          0          0          0
       TIMER:      25524      22165      23236      22457      22763      22665      20903      26009
      NET_TX:        374        450       2853       4052        485        450       6349       7114
      NET_RX:       6471      33021       5846       6387         32         28        109       1942
       BLOCK:      91112        881          0          0          0          0      13008      42418
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14969        139        205         61         84         28         30
       SCHED:      22374      19398      18751      17980      14951      14954      19386      24629
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      19704      18870      20952      20336      21015      20835      18423      28022
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      32778          0          0          0          0          0          0
       TIMER:      25537      22167      23241      22463      22784      22668      20905      26024
      NET_TX:        374        450       2853       4052        485        450       6349       7114
      NET_RX:       6471      33021       5846       6387         32         28        109       1942
       BLOCK:      91112        881          0          0          0          0      13008      42418
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14969        139        205         61         84         28         30
       SCHED:      22390      19400      18756      17986      14972      14957      19388      24649
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      19719      18872      20957      20342      21035      20838      18425      28042
